report_number,crash_year,role,person_number,home_zip,age,sex,injury_severity,vehicle_number,driver_distraction_code,driver_condition_code,driver_action_1,driver_action_2,driver_action_3,driver_action_4,non_motorist_description_code,location_code,action_prior_to_crash_code,action_code1,action_code2,crash_date_time,latitude,longitude
89139987,2019,P,3,32312,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139987,2019,P,4,32502,13,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139987,2019,P,5,32502,8,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139987,2019,P,6,32502,8,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139987,2019,P,7,32502,6,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139987,2019,P,8,32502,15,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139987,2019,P,9,32505,12,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139987,2019,P,10,32503,12,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T13:56:00Z,30.435951,-84.284349
89139989,2019,P,3,32309,54,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T11:13:00Z,30.456246,-84.269803
89139809,2019,P,3,32303,49,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-01T16:17:00Z,30.43877,-84.279749
89140890,2019,P,2,32309,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T18:04:00Z,30.461925,-84.22235
89140891,2019,P,5,32303,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:24:00Z,30.435759,-84.262941
89140891,2019,P,3,32311,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:24:00Z,30.435759,-84.262941
89140891,2019,P,4,32327,22,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:24:00Z,30.435759,-84.262941
89140838,2019,P,3,33025,27,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:41:00Z,30.44911,-84.278337
89140838,2019,P,4,10475,75,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:41:00Z,30.44911,-84.278337
89140837,2019,P,3,32304,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:22:00Z,30.42067,-84.282084
89140837,2019,P,4,32304,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:22:00Z,30.42067,-84.282084
89140892,2019,P,3,32304,24,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T20:31:00Z,30.435507,-84.284335
89140839,2019,P,3,32327,47,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:59:00Z,30.412566,-84.280832
89140839,2019,P,4,32327,18,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:59:00Z,30.412566,-84.280832
89140839,2019,P,5,32305,28,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:59:00Z,30.412566,-84.280832
89140839,2019,P,6,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T22:59:00Z,30.412566,-84.280832
89140901,2019,P,3,32305,41,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T07:19:00Z,30.428162,-84.307971
88027215,2019,P,2,32309,17,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-26T11:30:00Z,30.56342,-84.21971
88027216,2019,P,3,32352,56,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-26T09:30:00Z,30.4880116412549,-84.2922824961627
89140905,2019,P,3,32301,56,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T12:29:00Z,30.474105,-84.294297
89140905,2019,P,4,32301,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T12:29:00Z,30.474105,-84.294297
89140906,2019,P,3,32443,44,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T12:06:00Z,30.504202,-84.249016
89140906,2019,P,4,32443,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T12:06:00Z,30.504202,-84.249016
89140932,2019,P,3,32303,66,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T13:34:00Z,30.473587,-84.293565
89140933,2019,P,3,NA,60,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T15:01:00Z,30.456924,-84.241427
89140903,2019,P,4,32305,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T08:10:00Z,30.410094,-84.304511
89140903,2019,P,3,32305,8,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T08:10:00Z,30.410094,-84.304511
89140911,2019,P,2,32301,52,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T15:06:00Z,30.412785,-84.265319
89140919,2019,P,4,32301,70,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T16:42:00Z,30.412538,-84.291216
89139949,2019,P,3,32312,41,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-05T11:10:00Z,30.438068,-84.279582
89141741,2019,P,3,32955,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-12T15:08:00Z,30.444723,-84.283082
