report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,first_harmful_event,harmful_event_location,other1,tallahassee_democrat,wtxl
89139827,2019,2019-04-01 17:27,14,2,2,Alabama St,,30.456339,-84.308245,,,,COLORADO ST,,5,14,1,EC2,,
89139797,2019,2019-04-01 17:29,14,3,4,Capital Circle NE,,30.443783,-84.226437,904,,N,CONNER BLVD,,5,14,1,EC2,,
89139819,2019,2019-04-01 17:32,14,2,2,W BRADFORD RD,,30.467529,-84.284692,,,,MARIANA DR,,5,14,1,EC2,,
89139799,2019,2019-04-01 17:45,14,2,2,CARE DR,,30.474758,-84.235008,,,,CAPITAL CIR NE,,4,14,1,EC2,,
87505291,2019,2019-04-01 17:45,15,2,2,BRADFORDVILLE RD,3700,,,0,,,,,5,15,8,EC2,,
89139800,2019,2019-04-01 17:50,14,2,2,W Pensacola St,,30.441551,-84.33646,284,,E,S APPLEYARD DR,,5,14,1,EC2,,
89139816,2019,2019-04-01 17:53,14,2,2,N Meridian Rd,,30.475346,-84.277217,140,,N,N RIDE,,5,14,1,EC2,,
89139806,2019,2019-04-01 17:55,14,2,2,Jackson Bluff Rd,,30.434397,-84.3137,44,,E,FAIRBANKS DR,,5,14,1,EC2,,
89139813,2019,2019-04-01 17:55,14,5,5,Apalachee Pkwy,,30.427185,-84.228845,171,,W,KINGS DR,,5,14,1,EC2,,
88056963,2019,2019-04-01 18:05,14,2,2,BANNERMAN ROAD,,30.5657834419305,-84.2221510770404,,0.1,S,BEECH RIDGE TRAIL,,4,14,1,EC2,,
89139804,2019,2019-04-01 18:05,14,2,2,Jackson Bluff Rd,,30.434272,-84.352555,,,,CAPITAL CIR SW,,5,14,1,EC2,,
89139849,2019,2019-04-01 18:08,14,2,3,W Tharpe St,,30.465338,-84.341542,3,,E,NANI DR,,5,14,1,EC2,,
89139807,2019,2019-04-01 18:13,14,2,2,W Brevard St,,30.449048,-84.29081,,,,N COPELAND ST,,5,14,1,EC2,,
89139801,2019,2019-04-01 18:29,18,1,2,W Tennessee St,,30.4573,-84.347253,731,,W,BLOUNTSTOWN ST,,5,18,1,EC2,,
89139824,2019,2019-04-01 18:30,14,2,3,W Tennessee St,,30.444741,-84.288477,,,,N MACOMB ST,,3,14,1,EC2,,
89139830,2019,2019-04-01 18:49,14,2,6,Gearhart Rd,,30.48164,-84.362546,666,,S,CAPITAL CIR NW,,5,14,1,EC2,,
89139822,2019,2019-04-01 18:50,39,1,1,Orange Ave,,30.412657,-84.265826,250,,E,PONTAIC DRIVE,,5,39,1,EC2,,
89139828,2019,2019-04-01 20:10,14,2,3,CALIARK ST,,30.44912,-84.309858,,,,W TENNESSEE ST,,3,14,1,EC2,,
89139860,2019,2019-04-01 20:35,14,2,2,Belle Vue Way,,30.437939,-84.319517,,,,S AUSLEY RD,,5,14,1,EC2,,
89139815,2019,2019-04-01 21:00,14,2,2,W Tennessee St,,30.459195,-84.353301,1291,,W,BICYCLE RD,,5,14,1,EC2,,
