name,add1,add2,latitude,longitude,pctParent,pctChild,pctParentVoters1,pctChildVoters1,pctChildVoters2,pctChildVoters3,pctChildVoters4,Notes
Four Oaks Community Church ,4500 W. Shannon Lakes Dr. Ste 12,"Tallahassee, Fl, 32309",30.536037,-84.21676858,4167,,"3,049",0,0,0,0,
Indian Springs Baptist Church,5593 Veterans Memorial Dr,,30.54442642,-84.0443754,4173,,894,0,0,0,0,
St. Peters Primitive Baptist Church,2565 Centerville Rd,,30.4848993,-84.22870588,4184,4105 4109,662,701,303,0,0,
Wildwood Presbyterian Church,100 Ox Bottom Rd,,30.54902915,-84.2763933,4405,3413 3475,"2,017",68,254,0,0,
Summerbrooke Golf Club,7505 Preservation Rd,,30.57346796,-84.2596219,4408,,"1,751",0,0,0,0,
Vantage Church,"2915 Kerry Forest Parkway, Suite 401","Tallahassee, FL 32309",,,4453,4403,"1,441","1,619",0,0,0,
Christ Presbyterian Church,2317 Bannerman Rd,,30.57697431,-84.23672883,4455,,"3,104",0,0,0,0,
Canopy Roads Baptist Church,925 Bannerman Rd,,30.58548208,-84.26293585,4458,,"1,432",0,0,0,0,
Epiphany Lutheran Church,8300 Deerlake Rd,,30.58532393,-84.23537988,4459,,"4,028",0,0,0,0,
Deer Lake United Methodist,8013 Deerlake Rd S,,30.58185654,-84.22619386,4461,,"2,364",0,0,0,0,
Westminster Gardens,301 E Carolina St,,30.44659263,-84.27895797,5101,,125,0,0,0,0,
Sue H. McCollum Community Center,501 Ingleside Ave,,30.45334799,-84.27436823,5105,5104,"3,311",22,0,0,0,
United Church of Tallahassee,1834  Mahan Dr,,30.45216997,-84.25158987,5110,,"1,392",0,0,0,0,
Grace Lutheran Church,2919 Miccosukee Rd,,30.47020279,-84.22920451,5115,5165,"1,773",201,0,0,0,
Calvary Chapel,8614 Mahan Dr,,30.4915772,-84.13175305,5153,,"1,928",0,0,0,0,
Parks & Recreation Dept.,1201 Myers Park Dr,,30.43387122,-84.27467612,5201,1322 5202,"1,338",16,152,0,0,
Optimist Park,1806 Indianhead Dr E,,30.42639726,-84.25782578,5203,,940,0,0,0,0,
Jackson Lodge,2818 Apalachee Pkwy,,30.4278789,-84.23521572,5207,,"3,440",0,0,0,0,
Tallahassee Elks Lodge,276 N Magnolia Dr,,30.44580379,-84.2626077,5209,5103,496,"1,297",0,0,0,
Town East Baptist Church,1055 Richview Rd,,30.43496252,-84.23137794,5211,,"1,180",0,0,0,0,
First Church of the Nazarene,1983 Mahan Dr,,30.45133254,-84.24825015,5214,,"1,655",0,0,0,0,
Piney Z Lodge,950 Piney Z Plantation Rd,,30.44017483,-84.19880891,5220,,"1,373",0,0,0,0,
Dept. of Agriculture Complex,3125 Conner Blvd,,30.43914956,-84.22477883,5221,,791,0,0,0,0,
Gospel Light Church,3415 Apalachee Pkwy,,30.42760688,-84.21753732,5224,5262,"2,480",71,0,0,0,
Southwood Community Center,4675 Grove Park Dr,,30.39409473,-84.21593102,5225,,"3,884",0,0,0,0,
Morningside Baptist Church,1560 Pedrick Rd,,30.47163076,-84.1845601,5251,5229 5219,"2,713",0,"2,286",0,0,Could not find 5229
Woodrun Baptist Church,8203 Apalachee Pkwy,,30.41876435,-84.13728198,5260,,"3,926",0,0,0,0,
Celebrate New Life Church,3050 Agape Ln,,30.41893123,-84.12685001,5261,,"2,708",0,0,0,0,
Dorothy Spence Community Center,4768 Chaires Cross Rd,,30.43678229,-84.12569388,5263,,"2,228",0,0,0,0,
Capital City Christian Church,6115 Mahan Dr,,30.47827752,-84.1745718,5284,5212,"1,962",175,0,0,0,
Supervisor of Elections Office,315 S Calhoun St,,30.43916489,-84.27897033,9000,,453,0,0,0,0,
