code,description
1,Not Distracted
2,"Electronic Communication Devices (cell phone, etc.)"
2,"Other Electronic Device (navigation device, DVD player)"
4,Other inside the Vehicle (Explain in Narrative)
5,"External Distraction (outside the vehicle, Explain in Narrative)"
6,Texting
7,Inattentive
88,Unknown
